MAC,Corporation
305a3a7b994c,ASUSTek COMPUTER INC.
0060e066b7dd,"AXIOM TECHNOLOGY CO., LTD."
0060e05d6736,"AXIOM TECHNOLOGY CO., LTD."
0007b8dde4fc,Corvalent Corporation
0007b8df5c32,Corvalent Corporation
00232473244a,G-PRO COMPUTER
002324656ed2,G-PRO COMPUTER
0080ae4906eb,HUGHES NETWORK SYSTEMS
9457a5581cc5,Hewlett Packard
3440b5b536cd,IBM
3440b5b534bd,IBM
3440b5b53486,IBM
3440b5b428ad,IBM
40f2e98ae192,IBM
3440b5b53452,IBM
3440b5b5618e,IBM
3440b5b534c3,IBM
3440b5b44bf0,IBM
40f2e98af0aa,IBM
3440b5b534a5,IBM
3440b5b4d3c3,IBM
3440b5b4d300,IBM
3440b5b55e59,IBM
40f2e989cac2,IBM
40f2e98f6564,IBM
5cf3fc5cc425,IBM Corp
e41f13978c58,IBM Corp
5cf3fc5cc426,IBM Corp
5cf3fc5cb67b,IBM Corp
e41f13969130,IBM Corp
5cf3fc5cb67c,IBM Corp
000381e9c80f,Ingenico International
0003810918ed,Ingenico International
0021b7beea83,"LEXMARK INTERNATIONAL, INC."
0021b7fd5fa7,"LEXMARK INTERNATIONAL, INC."
0021b7daa516,"LEXMARK INTERNATIONAL, INC."
0021b7fd5f12,"LEXMARK INTERNATIONAL, INC."
0021b7fd5f9b,"LEXMARK INTERNATIONAL, INC."
0021b7e7f128,"LEXMARK INTERNATIONAL, INC."
0021b74333bd,"LEXMARK INTERNATIONAL, INC."
0021b743dfbc,"LEXMARK INTERNATIONAL, INC."
0021b743dfff,"LEXMARK INTERNATIONAL, INC."
0080879b089d,"OKI ELECTRIC INDUSTRY CO., LTD"
00012e6b7df6,PC Partner Ltd.
00012e4e80b1,PC Partner Ltd.
00012e4e7f22,PC Partner Ltd.
00012e80f730,PC Partner Ltd.
00012e4f6782,PC Partner Ltd.
00012e810445,PC Partner Ltd.
00012e810470,PC Partner Ltd.
00012e81046c,PC Partner Ltd.
00012e81003b,PC Partner Ltd.
00012e4eef7f,PC Partner Ltd.
00012e8100a6,PC Partner Ltd.
00012e6dbbaf,PC Partner Ltd.
00012e6db997,PC Partner Ltd.
00012e6db9f2,PC Partner Ltd.
00012e80fa36,PC Partner Ltd.
00012e6daa3d,PC Partner Ltd.
00012e6db611,PC Partner Ltd.
00012e4d66be,PC Partner Ltd.
00012e6dab39,PC Partner Ltd.
00012e6dba55,PC Partner Ltd.
00012e4d66e1,PC Partner Ltd.
00204ab0866c,PRONET GMBH
d8eb97fa0280,"TRENDnet, Inc."
d8eb97fa01e0,"TRENDnet, Inc."
242ffa12fc9a,Toshiba Global Commerce Solutions
242ffa15196d,Toshiba Global Commerce Solutions
242ffa12e8fa,Toshiba Global Commerce Solutions
242ffa15169b,Toshiba Global Commerce Solutions
242ffa12ed4c,Toshiba Global Commerce Solutions
242ffa12f60d,Toshiba Global Commerce Solutions
242ffa1482bf,Toshiba Global Commerce Solutions
242ffa147d5d,Toshiba Global Commerce Solutions
4439c43a62ea,"Universal Global Scientific Industrial Co., Ltd."
000b4fde18eb,Verifone
000b4f8acb27,Verifone
000b4fdfe80c,Verifone
000b4fdfe6cb,Verifone
60c798447708,Verifone
0010f4068459,Vertical Communications
0010f4068458,Vertical Communications
0010f40604a1,Vertical Communications
000145059992,"WINSYSTEMS, INC."
